timestamp,sessionId,userChoice,computerChoice,result,userScore,computerScore,userChoiceLabel,computerChoiceLabel,resultLabel,userChoice_prev_1,computerChoice_prev_1,userChoice_prev_2,computerChoice_prev_2,userChoice_prev_3,computerChoice_prev_3,cluster
2025-05-19T10:20:43.977Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,3,1,1,0,-1,1.0,2.0,2.0,0.0,0.0,1.0,1
2025-05-19T10:20:48.842Z,session_1747649995288,paper,rock,Hurrah! You win..! paper beats rock,4,1,0,1,1,1.0,0.0,1.0,2.0,2.0,0.0,0
2025-05-19T10:20:54.205Z,session_1747649995288,scissor,scissor,It is a tie..!,4,1,2,2,0,0.0,1.0,1.0,0.0,1.0,2.0,0
2025-05-19T10:20:56.085Z,session_1747649995288,paper,paper,It is a tie..!,4,1,0,0,0,2.0,2.0,0.0,1.0,1.0,0.0,1
2025-05-19T10:20:57.590Z,session_1747649995288,scissor,rock,Oops! You lose...! rock beats scissor,4,2,2,1,-1,0.0,0.0,2.0,2.0,0.0,1.0,1
2025-05-19T10:20:58.832Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,5,2,1,2,1,2.0,1.0,0.0,0.0,2.0,2.0,0
2025-05-19T10:21:04.268Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,5,3,0,2,-1,1.0,2.0,2.0,1.0,0.0,0.0,2
2025-05-19T10:21:06.676Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,6,3,1,2,1,0.0,2.0,1.0,2.0,2.0,1.0,0
2025-05-19T10:21:09.081Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,6,4,0,2,-1,1.0,2.0,0.0,2.0,1.0,2.0,2
2025-05-19T10:21:10.521Z,session_1747649995288,scissor,scissor,It is a tie..!,6,4,2,2,0,0.0,2.0,1.0,2.0,0.0,2.0,0
2025-05-19T10:21:15.934Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,6,5,0,2,-1,2.0,2.0,0.0,2.0,1.0,2.0,2
2025-05-19T10:21:17.903Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,7,5,1,2,1,0.0,2.0,2.0,2.0,0.0,2.0,0
2025-05-19T10:21:19.055Z,session_1747649995288,rock,rock,It is a tie..!,7,5,1,1,0,1.0,2.0,0.0,2.0,2.0,2.0,1
